service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25J-H50J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H50J000S-80-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H54J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H55J000S-81-S,1,1,1,1,1,0,0,20250106,20250321
25J-H55J000S-81-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H56J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H56J000S-80-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H57J000S-83-S,1,1,1,1,1,0,0,20250106,20250321
25J-H58J000S-81-S,1,1,1,1,1,0,0,20250106,20250321
25J-H59J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H59J000S-80-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H60J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H62J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-GLOBAUX-02-S,1,1,1,1,1,0,0,20250106,20250321
25J-H50J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H54J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H55J000A-83-A,0,0,0,0,0,1,0,20250111,20250322
25J-H56J000A-81-A,0,0,0,0,0,1,0,20250111,20250322
25J-H57J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H58J000A-81-A,0,0,0,0,0,1,0,20250111,20250322
25J-H59J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H60J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H62J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-GLOBAUX-01-A,0,0,0,0,0,1,0,20250111,20250322
25J-H50J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H54J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H55J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H56J000I-81-I,0,0,0,0,0,0,1,20250112,20250323
25J-H57J000I-81-I,0,0,0,0,0,0,1,20250112,20250323
25J-H58J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H59J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H60J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H62J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-GLOBAUX-01-I,0,0,0,0,0,0,1,20250112,20250323
25J-GLOBAUX-22-A,0,0,0,0,0,1,0,20250301,20250301
25J-H50JV00S-81-S,1,1,1,1,1,0,0,20250303,20250307
25J-H50JV00S-81-SV,0,0,0,0,1,0,0,20250303,20250307
25J-H54JV00S-80-S,1,1,1,1,1,0,0,20250303,20250307
25J-H55JV00S-80-S,1,1,1,1,1,0,0,20250303,20250307
25J-H55JV00S-80-SV,0,0,0,0,1,0,0,20250303,20250307
25J-H56JV00S-80-S,1,1,1,1,1,0,0,20250303,20250307
25J-H56JV00S-80-SV,0,0,0,0,1,0,0,20250303,20250307
25J-H57JV00S-84-S,1,1,1,1,1,0,0,20250303,20250307
25J-H58JV00S-81-S,1,1,1,1,1,0,0,20250303,20250307
25J-H59JV00S-83-S,1,1,1,1,1,0,0,20250303,20250307
25J-H59JV00S-83-SV,0,0,0,0,1,0,0,20250303,20250307
25J-H60JV00S-80-S,1,1,1,1,1,0,0,20250303,20250307
25J-H62JV00S-80-S,1,1,1,1,1,0,0,20250303,20250307
25J-H50JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H54JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H55JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H56JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H57JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H58JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H59JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H60JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H62JV00A-80-A,0,0,0,0,0,1,0,20250308,20250308
25J-H50JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H54JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H55JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H56JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H57JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H58JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H59JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H60JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25J-H62JV00I-80-I,0,0,0,0,0,0,1,20250309,20250309
25M-H50M000S-81-S,1,1,1,1,1,0,0,20250324,20250613
25M-H50M000S-81-SV,0,0,0,0,1,0,0,20250324,20250613
25M-H54M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H55M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H55M000S-80-SV,0,0,0,0,1,0,0,20250324,20250613
25M-H56M000S-80-S,1,1,1,1,1,0,0,20250324,20250328
25M-H56M000S-80-SV,0,0,0,0,1,0,0,20250324,20250328
25M-H57M000S-81-S,1,1,1,1,1,0,0,20250324,20250613
25M-H58M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H59M000S-81-S,1,1,1,1,1,0,0,20250324,20250613
25M-H59M000S-81-SV,0,0,0,0,1,0,0,20250324,20250613
25M-H60M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H62M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-GLOBAUX-01-S,1,1,1,1,1,0,0,20250324,20250613
25M-H50M000A-81-A,0,0,0,0,0,1,0,20250329,20250614
25M-H54M000A-80-A,0,0,0,0,0,1,0,20250329,20250614
25M-H55M000A-83-A,0,0,0,0,0,1,0,20250329,20250614
25M-H56M000A-80-A,0,0,0,0,0,1,0,20250329,20250329
25M-H57M000A-80-A,0,0,0,0,0,1,0,20250329,20250614
25M-H58M000A-81-A,0,0,0,0,0,1,0,20250329,20250614
25M-H59M000A-81-A,0,0,0,0,0,1,0,20250329,20250329
25M-H60M000A-81-A,0,0,0,0,0,1,0,20250329,20250614
25M-H62M000A-80-A,0,0,0,0,0,1,0,20250329,20250614
25M-GLOBAUX-00-A,0,0,0,0,0,1,0,20250329,20250614
25M-H50M000I-81-I,0,0,0,0,0,0,1,20250330,20250615
25M-H54M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H55M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H56M000I-80-I,0,0,0,0,0,0,1,20250330,20250330
25M-H57M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H58M000I-81-I,0,0,0,0,0,0,1,20250330,20250615
25M-H59M000I-81-I,0,0,0,0,0,0,1,20250330,20250330
