service_id,date,exception_type
25J-H50J000S-80-S,20250303,2
25J-H50J000S-80-S,20250304,2
25J-H50J000S-80-S,20250305,2
25J-H50J000S-80-S,20250306,2
25J-H50J000S-80-S,20250307,2
25J-H50J000S-80-SV,20250307,2
25J-H50J000A-80-A,20250308,2
25J-H50J000I-80-I,20250309,2
25M-H50M000S-81-S,20250418,2
25M-H50M000S-81-SV,20250418,2
25M-H50M000S-81-S,20250421,2
25M-H50M000S-81-S,20250519,2
25J-H54J000S-80-S,20250303,2
25J-H54J000S-80-S,20250304,2
25J-H54J000S-80-S,20250305,2
25J-H54J000S-80-S,20250306,2
25J-H54J000S-80-S,20250307,2
25J-H54J000A-80-A,20250308,2
25J-H54J000I-80-I,20250309,2
25M-H54M000S-80-S,20250418,2
25M-H54M000S-80-S,20250421,2
25M-H54M000S-80-S,20250519,2
25J-H55J000S-81-S,20250303,2
25J-H55J000S-81-S,20250304,2
25J-H55J000S-81-S,20250305,2
25J-H55J000S-81-S,20250306,2
25J-H55J000S-81-S,20250307,2
25J-H55J000S-81-SV,20250307,2
25J-H55J000A-83-A,20250308,2
25J-H55J000I-80-I,20250309,2
25M-H55M000S-80-S,20250418,2
25M-H55M000S-80-SV,20250418,2
25M-H55M000S-80-S,20250421,2
25M-H55M000S-80-S,20250519,2
25J-H56J000S-80-S,20250303,2
25J-H56J000S-80-S,20250304,2
25J-H56J000S-80-S,20250305,2
25J-H56J000S-80-S,20250306,2
25J-H56J000S-80-S,20250307,2
25J-H56J000S-80-SV,20250307,2
25J-H56J000A-81-A,20250308,2
25J-H56J000I-81-I,20250309,2
25M-H56M000S-83-S,20250418,2
25M-H56M000S-83-SV,20250418,2
25M-H56M000S-83-S,20250421,2
25M-H56M000S-83-S,20250519,2
25J-H57J000S-83-S,20250303,2
25J-H57J000S-83-S,20250304,2
25J-H57J000S-83-S,20250305,2
25J-H57J000S-83-S,20250306,2
25J-H57J000S-83-S,20250307,2
25J-H57J000A-80-A,20250308,2
25J-H57J000I-81-I,20250309,2
25M-H57M000S-81-S,20250418,2
25M-H57M000S-81-S,20250421,2
25M-H57M000S-81-S,20250519,2
25J-H58J000S-81-S,20250303,2
25J-H58J000S-81-S,20250304,2
25J-H58J000S-81-S,20250305,2
25J-H58J000S-81-S,20250306,2
25J-H58J000S-81-S,20250307,2
25J-H58J000A-81-A,20250308,2
25J-H58J000I-80-I,20250309,2
25M-H58M000S-80-S,20250418,2
25M-H58M000S-80-S,20250421,2
25M-H58M000S-80-S,20250519,2
25J-H59J000S-80-S,20250303,2
25J-H59J000S-80-S,20250304,2
25J-H59J000S-80-S,20250305,2
25J-H59J000S-80-S,20250306,2
25J-H59J000S-80-S,20250307,2
25J-H59J000S-80-SV,20250307,2
25J-H59J000A-80-A,20250308,2
25J-H59J000I-80-I,20250309,2
25M-H59M000S-81-S,20250418,2
25M-H59M000S-81-SV,20250418,2
25M-H59M000S-81-S,20250421,2
25M-H59M000S-81-S,20250519,2
25J-H60J000S-80-S,20250303,2
25J-H60J000S-80-S,20250304,2
25J-H60J000S-80-S,20250305,2
25J-H60J000S-80-S,20250306,2
25J-H60J000S-80-S,20250307,2
25J-H60J000A-80-A,20250308,2
25J-H60J000I-80-I,20250309,2
25M-H60M000S-80-S,20250418,2
25M-H60M000S-80-S,20250421,2
25M-H60M000S-80-S,20250519,2
25J-H62J000S-80-S,20250303,2
25J-H62J000S-80-S,20250304,2
25J-H62J000S-80-S,20250305,2
25J-H62J000S-80-S,20250306,2
25J-H62J000S-80-S,20250307,2
25J-H62J000A-80-A,20250308,2
25J-H62J000I-80-I,20250309,2
25M-H62M000S-80-S,20250418,2
25M-H62M000S-80-S,20250421,2
25M-H62M000S-80-S,20250519,2
25J-GLOBAUX-01-A,20250301,2
25M-GLOBAUX-01-S,20250418,2
25M-GLOBAUX-01-S,20250421,2
25M-GLOBAUX-01-S,20250519,2
